days.incubated,estimate,upper95,lower95,pair_id,mesh.type,cohort_id,year,stream,block,species
1,0.20022263291278167,0.27878560995325186,0.12136698248066753,3,Coarse,3,pre1,TOWR,4,WOOD
2,0.009893932313760293,0.02038595861152156,1.2158693014261748e-4,3,Coarse,3,pre1,TOWR,4,WOOD
3,0.0028182773761149197,0.009101936806251949,-0.0029674049049858166,3,Coarse,3,pre1,TOWR,4,WOOD
4,1.0067299628208057e-4,0.004699385297527516,-0.003924473356858487,3,Coarse,3,pre1,TOWR,4,WOOD
5,-0.0012864142851799969,0.0023112043696761966,-0.0047317094988686,3,Coarse,3,pre1,TOWR,4,WOOD
6,-0.002099102035071089,0.0010503158999161859,-0.0049403696532324985,3,Coarse,3,pre1,TOWR,4,WOOD
7,-0.0026156881534734355,1.1171841438172115e-4,-0.005170372483246029,3,Coarse,3,pre1,TOWR,4,WOOD
8,-0.0029618436260413733,-5.20930475197111e-4,-0.005220150015752348,3,Coarse,3,pre1,TOWR,4,WOOD
9,-0.0032021937517591127,-0.0010676145665650823,-0.005288321873859971,3,Coarse,3,pre1,TOWR,4,WOOD
10,-0.00337313179892873,-0.0014001824307625786,-0.0053468712920740616,3,Coarse,3,pre1,TOWR,4,WOOD
11,-0.003496580797625427,-0.0016397902620736249,-0.00539294492506196,3,Coarse,3,pre1,TOWR,4,WOOD
12,-0.0035864528811804103,-0.001733587738094191,-0.005404917445728149,3,Coarse,3,pre1,TOWR,4,WOOD
13,-0.00365195044137619,-0.0018148006101285574,-0.005418423238501311,3,Coarse,3,pre1,TOWR,4,WOOD
14,-0.003699369921444785,-0.0018696995678258656,-0.00542075572235141,3,Coarse,3,pre1,TOWR,4,WOOD
15,-0.0037331421803431363,-0.0019223954984484482,-0.005455972994687068,3,Coarse,3,pre1,TOWR,4,WOOD
16,-0.0037564599525356564,-0.0019559710578541585,-0.00547125908143481,3,Coarse,3,pre1,TOWR,4,WOOD
17,-0.0037716707680624283,-0.001955779254308317,-0.0054759587725149595,3,Coarse,3,pre1,TOWR,4,WOOD
18,-0.0037805310182299177,-0.0019658058346826717,-0.005495516320788057,3,Coarse,3,pre1,TOWR,4,WOOD
19,-0.003784374848865265,-0.001974302017727792,-0.005525999309698265,3,Coarse,3,pre1,TOWR,4,WOOD
20,-0.003784229179359449,-0.0019527358771135347,-0.005541994074409302,3,Coarse,3,pre1,TOWR,4,WOOD
21,-0.0037808937158157353,-0.0019515545665995853,-0.005532326729245142,3,Coarse,3,pre1,TOWR,4,WOOD
22,-0.003774997671932466,-0.0019472108548638236,-0.005516269765389881,3,Coarse,3,pre1,TOWR,4,WOOD
