days.incubated,estimate,upper95,lower95,pair_id,mesh.type,cohort_id,year,stream,block,species
1,0.1686243117134801,0.237242887821787,0.10243959309601065,1,Coarse,1,pre1,TOWR,4,ACER
2,0.011939443662185033,0.021109897453074504,0.0022042734650254835,1,Coarse,1,pre1,TOWR,4,ACER
3,0.0033760974020908907,0.009686188991544291,-0.0029203300049034666,1,Coarse,1,pre1,TOWR,4,ACER
4,-1.3817963987457552e-4,0.004714154834439662,-0.004871022699893788,1,Coarse,1,pre1,TOWR,4,ACER
5,-0.0020288966091019326,0.0018948659636982411,-0.0058291716533652145,1,Coarse,1,pre1,TOWR,4,ACER
6,-0.0031908871665593196,1.047763383788042e-4,-0.006406640603458873,1,Coarse,1,pre1,TOWR,4,ACER
7,-0.003964550076988817,-0.0011351379145811726,-0.006780830541861422,1,Coarse,1,pre1,TOWR,4,ACER
8,-0.004507892903055333,-0.0019437600147880322,-0.00700906123041706,1,Coarse,1,pre1,TOWR,4,ACER
9,-0.004904175674717665,-0.0025763381286984894,-0.007207725109172692,1,Coarse,1,pre1,TOWR,4,ACER
10,-0.005201344582891107,-0.003066259684681724,-0.007315054108990388,1,Coarse,1,pre1,TOWR,4,ACER
11,-0.005428892669031731,-0.0034625021289222783,-0.007395489275721582,1,Coarse,1,pre1,TOWR,4,ACER
12,-0.005605912552593914,-0.0036566146616211713,-0.007523830474635124,1,Coarse,1,pre1,TOWR,4,ACER
13,-0.0057452783539963664,-0.0037767902934973696,-0.007619254886726602,1,Coarse,1,pre1,TOWR,4,ACER
14,-0.005855965232053166,-0.003915071702396302,-0.007664069155138288,1,Coarse,1,pre1,TOWR,4,ACER
15,-0.005944406306838359,-0.004085347423308157,-0.00775988768651117,1,Coarse,1,pre1,TOWR,4,ACER
16,-0.006015322193054323,-0.0041720628749014,-0.007786183367242805,1,Coarse,1,pre1,TOWR,4,ACER
17,-0.006072247269438312,-0.004238251352067436,-0.007797251492791521,1,Coarse,1,pre1,TOWR,4,ACER
18,-0.00611787428712821,-0.004298751272208156,-0.007801401612478667,1,Coarse,1,pre1,TOWR,4,ACER
19,-0.006154286280755144,-0.004320879363938046,-0.007902578515128563,1,Coarse,1,pre1,TOWR,4,ACER
20,-0.0061831164098615325,-0.004359176366477426,-0.007878966245151907,1,Coarse,1,pre1,TOWR,4,ACER
21,-0.006205660469903986,-0.004405427521335049,-0.007907886186701086,1,Coarse,1,pre1,TOWR,4,ACER
22,-0.006222957581134109,-0.004425397054389017,-0.007938977676237476,1,Coarse,1,pre1,TOWR,4,ACER
23,-0.006235849030226173,-0.004425133960981898,-0.00795506584561478,1,Coarse,1,pre1,TOWR,4,ACER
24,-0.0062450218292621025,-0.004435748608968015,-0.007972331489879005,1,Coarse,1,pre1,TOWR,4,ACER
