days.incubated,estimate,upper95,lower95,pair_id,mesh.type,cohort_id,year,stream,block,species
1,0.012935834317764737,0.021882309042181584,0.005242029222577763,2,Coarse,2,pre1,TOWR,4,RHODO
2,0.005898358024901164,0.007963622190211815,0.0035052415914165044,2,Coarse,2,pre1,TOWR,4,RHODO
3,0.00462894228558506,0.005932577715070999,0.00303556814944284,2,Coarse,2,pre1,TOWR,4,RHODO
4,0.003948641392299453,0.004905729388869086,0.002742481320009899,2,Coarse,2,pre1,TOWR,4,RHODO
5,0.003500625347808574,0.004246182239829933,0.0025126944647380594,2,Coarse,2,pre1,TOWR,4,RHODO
6,0.003173277762644969,0.003785513215034148,0.002318260108714699,2,Coarse,2,pre1,TOWR,4,RHODO
7,0.0029183545518557405,0.003460141330861651,0.0021774515946839943,2,Coarse,2,pre1,TOWR,4,RHODO
8,0.002711030478154483,0.003201441988018928,0.0020598570025549138,2,Coarse,2,pre1,TOWR,4,RHODO
9,0.0025370176504111797,0.0029900160212940194,0.0019472399306575412,2,Coarse,2,pre1,TOWR,4,RHODO
10,0.0023874191534281252,0.0028051596662047296,0.0018367912210700264,2,Coarse,2,pre1,TOWR,4,RHODO
11,0.0022563602277735255,0.002656689497009741,0.0017324780510742487,2,Coarse,2,pre1,TOWR,4,RHODO
12,0.0021397810283323524,0.0025218358825783538,0.0016495877951172473,2,Coarse,2,pre1,TOWR,4,RHODO
13,0.0020347719289563666,0.002405066268828535,0.0015574706934974847,2,Coarse,2,pre1,TOWR,4,RHODO
14,0.001939184570488493,0.0023042672339152544,0.0014702982288051108,2,Coarse,2,pre1,TOWR,4,RHODO
15,0.0018513927539139034,0.002206581614940372,0.0013888268831217917,2,Coarse,2,pre1,TOWR,4,RHODO
16,0.001770139323700597,0.0021231017532326725,0.001307857974393539,2,Coarse,2,pre1,TOWR,4,RHODO
17,0.0016944346851754475,0.002048814429104095,0.001233964083029115,2,Coarse,2,pre1,TOWR,4,RHODO
18,0.0016234875375227378,0.0019825484025895613,0.0011638079595036933,2,Coarse,2,pre1,TOWR,4,RHODO
19,0.001556656378300963,0.0019060430098401327,0.001100672297121074,2,Coarse,2,pre1,TOWR,4,RHODO
20,0.001493414788004637,0.0018450766995617286,0.0010394510989931633,2,Coarse,2,pre1,TOWR,4,RHODO
21,0.0014333260876732252,0.0017905178906561642,9.775308761715345e-4,2,Coarse,2,pre1,TOWR,4,RHODO
22,0.001376024514247538,0.0017316057848039141,9.212804291502803e-4,2,Coarse,2,pre1,TOWR,4,RHODO
23,0.0013212010181394656,0.0016766710368364727,8.706364274422111e-4,2,Coarse,2,pre1,TOWR,4,RHODO
24,0.0012685923970082043,0.0016290927173719084,8.206666108447574e-4,2,Coarse,2,pre1,TOWR,4,RHODO
25,0.001217972876081969,0.0015884914460461575,7.753306136428124e-4,2,Coarse,2,pre1,TOWR,4,RHODO
26,0.0011691475086203754,0.0015477716703091865,7.289739963529787e-4,2,Coarse,2,pre1,TOWR,4,RHODO
27,0.0011219469483612836,0.0015073694105390352,6.83090488954547e-4,2,Coarse,2,pre1,TOWR,4,RHODO
28,0.0010762232686130975,0.0014688738345131807,6.356962079692473e-4,2,Coarse,2,pre1,TOWR,4,RHODO
29,0.001031846588637532,0.0014285346411215258,5.952051687865708e-4,2,Coarse,2,pre1,TOWR,4,RHODO
30,9.887023290518443e-4,0.0013905599880922614,5.590367942558855e-4,2,Coarse,2,pre1,TOWR,4,RHODO
