days.incubated,estimate,upper95,lower95,pair_id,mesh.type,cohort_id,year,stream,block,species
41,7.453637447554189e-4,0.001355689992088667,9.511714730205779e-5,4,Coarse,6,pre1,WS55,4,ACER
42,7.159514028201559e-4,0.0013404372354912737,7.088238926452143e-5,4,Coarse,6,pre1,WS55,4,ACER
43,6.868806815893477e-4,0.001321363602615651,5.086630025495571e-5,4,Coarse,6,pre1,WS55,4,ACER
44,6.581235980420413e-4,0.0013021206867846885,2.5144569943432234e-5,4,Coarse,6,pre1,WS55,4,ACER
45,6.296542874458372e-4,0.0012824248496119785,1.1921932682522531e-6,4,Coarse,6,pre1,WS55,4,ACER
46,6.01448793875979e-4,0.0012624254497550509,-1.86456084086543e-5,4,Coarse,6,pre1,WS55,4,ACER
47,5.734848854433934e-4,0.0012422020401779798,-3.71554179934432e-5,4,Coarse,6,pre1,WS55,4,ACER
48,5.457418908533953e-4,0.0012210261504018273,-5.675494610145676e-5,4,Coarse,6,pre1,WS55,4,ACER
49,5.182005544392237e-4,0.0011979935498290597,-7.669046906686521e-5,4,Coarse,6,pre1,WS55,4,ACER
50,4.908429072473093e-4,0.001174626708580294,-9.574714354901496e-5,4,Coarse,6,pre1,WS55,4,ACER
51,4.6365215211073926e-4,0.00115116081784712,-1.2202608524574139e-4,4,Coarse,6,pre1,WS55,4,ACER
52,4.366125609482045e-4,0.0011295659194520142,-1.4646623619815025e-4,4,Coarse,6,pre1,WS55,4,ACER
53,4.0970938277686865e-4,0.0011131529475858946,-1.7055447855553757e-4,4,Coarse,6,pre1,WS55,4,ACER
54,3.8292876113992376e-4,0.0010898679211553584,-1.9237191395601066e-4,4,Coarse,6,pre1,WS55,4,ACER
55,3.5625765982777745e-4,0.0010659160088390177,-2.15333958574258e-4,4,Coarse,6,pre1,WS55,4,ACER
56,3.296837959234164e-4,0.0010417172591319066,-2.3693836911783692e-4,4,Coarse,6,pre1,WS55,4,ACER
57,3.0319557933107804e-4,0.0010172870649398146,-2.5871813584117746e-4,4,Coarse,6,pre1,WS55,4,ACER
58,2.7678205805677547e-4,9.926033533412017e-4,-2.8019463132150955e-4,4,Coarse,6,pre1,WS55,4,ACER
