mesh.type,days.incubated,estimate,upper95,lower95,pair_id,cohort_id,year,stream,block,species
Coarse,0,1,1,1,4,6,pre1,WS55,4,ACER
Coarse,1,0.9999582226914034,0.9999999999447796,0.9996148289829183,4,6,pre1,WS55,4,ACER
Coarse,2,0.9998945407655507,0.9999999988391227,0.999084982319701,4,6,pre1,WS55,4,ACER
Coarse,3,0.9998142895236138,0.999999993105007,0.9984873165665578,4,6,pre1,WS55,4,ACER
Coarse,4,0.9997191415771607,0.9999999756977139,0.9978392768649554,4,6,pre1,WS55,4,ACER
Coarse,5,0.9996099616102752,0.9999999360904978,0.9971511425352431,4,6,pre1,WS55,4,ACER
Coarse,6,0.9994872667319684,0.9999998591760354,0.9964293959894747,4,6,pre1,WS55,4,ACER
Coarse,7,0.9993513877882163,0.9999997253483662,0.9956785560637446,4,6,pre1,WS55,4,ACER
Coarse,8,0.9992025427448972,0.9999995101195158,0.9949019803283703,4,6,pre1,WS55,4,ACER
Coarse,9,0.9990408754452624,0.9999991838594104,0.9941033629903906,4,6,pre1,WS55,4,ACER
Coarse,10,0.9988664782095099,0.9999987115596379,0.9932841319810514,4,6,pre1,WS55,4,ACER
Coarse,11,0.9986794059837741,0.9999980525270218,0.9924457847310685,4,6,pre1,WS55,4,ACER
Coarse,12,0.9984796856881705,0.9999971600220554,0.9915897582271836,4,6,pre1,WS55,4,ACER
Coarse,13,0.9982673226595342,0.9999959817127733,0.990717279341171,4,6,pre1,WS55,4,ACER
Coarse,14,0.9980423052459982,0.9999944589073919,0.9898294099152747,4,6,pre1,WS55,4,ACER
Coarse,15,0.997804608177252,0.9999925265539378,0.9889270795826504,4,6,pre1,WS55,4,ACER
Coarse,16,0.9975541950960249,0.9999901130784292,0.9880111102672929,4,6,pre1,WS55,4,ACER
Coarse,17,0.9972910204984085,0.9999871402305722,0.9870822348686151,4,6,pre1,WS55,4,ACER
Coarse,18,0.9970150312473169,0.9999835229361866,0.9861411117766355,4,6,pre1,WS55,4,ACER
Coarse,19,0.9967261677711967,0.9999791691557013,0.9851883363311638,4,6,pre1,WS55,4,ACER
Coarse,20,0.9964243650263611,0.9999739797481719,0.9842422633727531,4,6,pre1,WS55,4,ACER
Coarse,21,0.9961095532789274,0.9999678483403583,0.9832869170031734,4,6,pre1,WS55,4,ACER
Coarse,22,0.9957816587470921,0.9999606612004656,0.98232261594291,4,6,pre1,WS55,4,ACER
Coarse,23,0.9954406041338917,0.9999522971162137,0.9813497419461835,4,6,pre1,WS55,4,ACER
Coarse,24,0.9950863090730966,0.9999426272769503,0.9803686480454845,4,6,pre1,WS55,4,ACER
Coarse,25,0.9947186905054881,0.999931515159556,0.9793796618696489,4,6,pre1,WS55,4,ACER
Coarse,26,0.9943376629988137,0.999918816417934,0.9783830884586833,4,6,pre1,WS55,4,ACER
Coarse,27,0.993943139021788,0.9999043787759001,0.9773548738685683,4,6,pre1,WS55,4,ACER
Coarse,28,0.993535029180308,0.9998880419233177,0.9762723747135967,4,6,pre1,WS55,4,ACER
Coarse,29,0.9931132424223718,0.9998696374153484,0.9751794585651309,4,6,pre1,WS55,4,ACER
Coarse,30,0.9926776862169113,0.9998489885747022,0.9740764448025893,4,6,pre1,WS55,4,ACER
Coarse,31,0.992228266710751,0.9998259103967955,0.9730444500720777,4,6,pre1,WS55,4,ACER
Coarse,32,0.9917648888671188,0.9998002094577428,0.9719784099207813,4,6,pre1,WS55,4,ACER
Coarse,33,0.9912874565885268,0.9997716838251136,0.9708445169553215,4,6,pre1,WS55,4,ACER
Coarse,34,0.9907958728263434,0.9997401229714126,0.9697579056766225,4,6,pre1,WS55,4,ACER
