mesh.type,days.incubated,estimate,upper95,lower95,pair_id,cohort_id,year,stream,block,species
Coarse,0,1,1,1,1,1,pre1,TOWR,4,ACER
Coarse,1,0.9522046793151907,0.9734128796175083,0.9219470504799085,1,1,pre1,TOWR,4,ACER
Coarse,2,0.92543918253946,0.9539314558212795,0.8880267920459801,1,1,pre1,TOWR,4,ACER
Coarse,3,0.9035222126198377,0.9366738098630382,0.8615384640443043,1,1,pre1,TOWR,4,ACER
Coarse,4,0.8843550334912248,0.9209423359458696,0.8401182076851053,1,1,pre1,TOWR,4,ACER
Coarse,5,0.8670611779806462,0.9063550510397418,0.8209626116683757,1,1,pre1,TOWR,4,ACER
Coarse,6,0.8511665308246448,0.8921247058580055,0.8043379734423793,1,1,pre1,TOWR,4,ACER
Coarse,7,0.8363772186447024,0.8783757993701725,0.7884968524639642,1,1,pre1,TOWR,4,ACER
Coarse,8,0.8224947847481652,0.8655140188918876,0.774791762865336,1,1,pre1,TOWR,4,ACER
Coarse,9,0.8093770128976112,0.8531513109232237,0.7609242286755813,1,1,pre1,TOWR,4,ACER
Coarse,10,0.7969174402671271,0.8416252394044933,0.7477650549993148,1,1,pre1,TOWR,4,ACER
Coarse,11,0.7850336515736549,0.8299952758840019,0.7363759455359928,1,1,pre1,TOWR,4,ACER
Coarse,12,0.7736601291803133,0.8183654945493891,0.7253929339182672,1,1,pre1,TOWR,4,ACER
Coarse,13,0.7627436518866378,0.8075092792651067,0.7140756635440915,1,1,pre1,TOWR,4,ACER
Coarse,14,0.7522402066951551,0.7969444810184805,0.7053873224277319,1,1,pre1,TOWR,4,ACER
Coarse,15,0.7421128429855508,0.7866306248239753,0.696569244976313,1,1,pre1,TOWR,4,ACER
Coarse,16,0.7323301375513092,0.7765784041151979,0.6868527973411165,1,1,pre1,TOWR,4,ACER
Coarse,17,0.7228650691058198,0.7676043258846993,0.6768333401118413,1,1,pre1,TOWR,4,ACER
Coarse,18,0.7136941752466167,0.7579134473259233,0.6675863158669867,1,1,pre1,TOWR,4,ACER
Coarse,19,0.7047969091566564,0.7486598246095494,0.6595116190624833,1,1,pre1,TOWR,4,ACER
Coarse,20,0.6961551406419134,0.7398669100182433,0.6509396427049651,1,1,pre1,TOWR,4,ACER
Coarse,21,0.6877527634828928,0.7312689036317574,0.6434490954961319,1,1,pre1,TOWR,4,ACER
Coarse,22,0.6795753824343244,0.7228089486801477,0.6349004580830517,1,1,pre1,TOWR,4,ACER
Coarse,23,0.671610060808391,0.7145278135551226,0.6273740717976404,1,1,pre1,TOWR,4,ACER
Coarse,24,0.6638451147740017,0.7063242319644158,0.6199573055776639,1,1,pre1,TOWR,4,ACER
Coarse,25,0.6562699441268343,0.6987799993492592,0.613108275913428,1,1,pre1,TOWR,4,ACER
Coarse,26,0.6488748918534811,0.6908036324488618,0.6061586808213333,1,1,pre1,TOWR,4,ACER
Coarse,27,0.6416511266633227,0.6832047007900218,0.5994158210176082,1,1,pre1,TOWR,4,ACER
Coarse,28,0.6345905440138481,0.6757115006593764,0.5916918927288705,1,1,pre1,TOWR,4,ACER
Coarse,29,0.6276856821562146,0.6685837713612895,0.5850949464772319,1,1,pre1,TOWR,4,ACER
Coarse,30,0.6209296504780196,0.6611999616810941,0.579032742732257,1,1,pre1,TOWR,4,ACER
Coarse,31,0.6143160679887116,0.6541758815636206,0.57314962419717,1,1,pre1,TOWR,4,ACER
Coarse,32,0.6078390102282754,0.6472970378957845,0.5674311690692786,1,1,pre1,TOWR,4,ACER
Coarse,33,0.6014929632162194,0.640767999389768,0.5615394461432653,1,1,pre1,TOWR,4,ACER
Coarse,34,0.5952727833202348,0.635167788657019,0.5557639775516819,1,1,pre1,TOWR,4,ACER
Coarse,35,0.5891736621301803,0.629110535252765,0.5492846874207138,1,1,pre1,TOWR,4,ACER
Coarse,36,0.5831910955865377,0.6230573594410403,0.5433456874061517,1,1,pre1,TOWR,4,ACER
Coarse,37,0.577320856742977,0.6163866650428405,0.5379033368756045,1,1,pre1,TOWR,4,ACER
Coarse,38,0.5715589716475672,0.6099008792108637,0.5330338489128856,1,1,pre1,TOWR,4,ACER
Coarse,39,0.5659016979120145,0.603474440667055,0.5277220929552718,1,1,pre1,TOWR,4,ACER
Coarse,40,0.5603455056073642,0.5974622385322019,0.5228479892636788,1,1,pre1,TOWR,4,ACER
Coarse,41,0.5548870601811265,0.5915072236590182,0.5180499367297118,1,1,pre1,TOWR,4,ACER
Coarse,42,0.5495232071373025,0.586377768449483,0.513034835803726,1,1,pre1,TOWR,4,ACER
Coarse,43,0.5442509582592635,0.5814673378963638,0.508077066172695,1,1,pre1,TOWR,4,ACER
Coarse,44,0.5390674791874245,0.5762138585965657,0.5030158990945747,1,1,pre1,TOWR,4,ACER
Coarse,45,0.5339700781903596,0.5705324056348647,0.4979552610175163,1,1,pre1,TOWR,4,ACER
Coarse,46,0.528956195990416,0.5651270226478575,0.49300565992653084,1,1,pre1,TOWR,4,ACER
Coarse,47,0.5240233965237479,0.5604618610143901,0.48813485350376484,1,1,pre1,TOWR,4,ACER
Coarse,48,0.5191693585306556,0.5561809151939794,0.4829880662157761,1,1,pre1,TOWR,4,ACER
Coarse,49,0.5143918678856616,0.552028111124245,0.47804779832824873,1,1,pre1,TOWR,4,ACER
Coarse,50,0.5096888105882931,0.5469620648581158,0.47361603532527585,1,1,pre1,TOWR,4,ACER
Coarse,51,0.5050581663454157,0.541717951527321,0.4690129740725345,1,1,pre1,TOWR,4,ACER
Coarse,52,0.5004980026844246,0.5371838491759919,0.4641102342972666,1,1,pre1,TOWR,4,ACER
Coarse,53,0.49600646954388394,0.5329542183993862,0.4596280057503013,1,1,pre1,TOWR,4,ACER
Coarse,54,0.4915817942944989,0.5287669884658188,0.4553221932107686,1,1,pre1,TOWR,4,ACER
Coarse,55,0.487222277148743,0.524678234015687,0.45091032281366766,1,1,pre1,TOWR,4,ACER
Coarse,56,0.482926286922198,0.5206460066803006,0.4466417797425222,1,1,pre1,TOWR,4,ACER
Coarse,57,0.4786922571137733,0.5166417859997605,0.44243977034947995,1,1,pre1,TOWR,4,ACER
Coarse,58,0.47451868227556715,0.512684734951808,0.4376615487379321,1,1,pre1,TOWR,4,ACER
Coarse,59,0.4704041146462772,0.5088009095707642,0.43303548898628663,1,1,pre1,TOWR,4,ACER
Coarse,60,0.4663471610248214,0.5051431343778983,0.4288347192023282,1,1,pre1,TOWR,4,ACER
Coarse,61,0.46234647986325955,0.5012248783387723,0.4248874878511901,1,1,pre1,TOWR,4,ACER
Coarse,62,0.4584007785602405,0.49784921084560324,0.4207478667593819,1,1,pre1,TOWR,4,ACER
Coarse,63,0.4545088109380874,0.49500600248413446,0.4167691957511974,1,1,pre1,TOWR,4,ACER
Coarse,64,0.4506693748883055,0.49096405809874183,0.4128500668763852,1,1,pre1,TOWR,4,ACER
Coarse,65,0.4468813101717758,0.4870689882394786,0.40846136988299675,1,1,pre1,TOWR,4,ACER
Coarse,66,0.4431434963612176,0.48363012548053863,0.40403760132042665,1,1,pre1,TOWR,4,ACER
Coarse,67,0.43945485091467196,0.4802339412479461,0.39967545092884427,1,1,pre1,TOWR,4,ACER
Coarse,68,0.43581432736980646,0.47693100354838835,0.3954456624870609,1,1,pre1,TOWR,4,ACER
Coarse,69,0.43222091364977305,0.4736242187549215,0.3915545561268956,1,1,pre1,TOWR,4,ACER
Coarse,70,0.4286736304721899,0.4703573548128911,0.38774252431527106,1,1,pre1,TOWR,4,ACER
Coarse,71,0.42517152985356543,0.46697522361342747,0.3845151165634966,1,1,pre1,TOWR,4,ACER
Coarse,72,0.42171369370215794,0.4630113297148368,0.38055616060113906,1,1,pre1,TOWR,4,ACER
Coarse,73,0.41829923249286943,0.45993617429965794,0.37689591357690483,1,1,pre1,TOWR,4,ACER
Coarse,74,0.41492728401831686,0.45663686378082124,0.3738812009159191,1,1,pre1,TOWR,4,ACER
Coarse,75,0.41159701221071876,0.45349851743531,0.37036338158021465,1,1,pre1,TOWR,4,ACER
Coarse,76,0.40830760602967825,0.45039379252923284,0.36667675455609455,1,1,pre1,TOWR,4,ACER
Coarse,77,0.40505827841134606,0.4474416310923251,0.36279016354015736,1,1,pre1,TOWR,4,ACER
Coarse,78,0.4018482652748135,0.4445832774081663,0.3593607354633275,1,1,pre1,TOWR,4,ACER
Coarse,79,0.39867682458191456,0.4419457017345097,0.3561412757494622,1,1,pre1,TOWR,4,ACER
