mesh.type,days.incubated,estimate,upper95,lower95,pair_id,cohort_id,year,stream,block,species
Coarse,0,1,1,1,2,2,pre1,TOWR,4,RHODO
Coarse,1,0.9999767734234897,0.9999995887991191,0.999882596628191,2,2,pre1,TOWR,4,RHODO
Coarse,2,0.9999249105981008,0.9999974385630525,0.9996679642654817,2,2,pre1,TOWR,4,RHODO
Coarse,3,0.9998487459103297,0.9999925321699781,0.999390090919054,2,2,pre1,TOWR,4,RHODO
Coarse,4,0.9997498411256396,0.9999840444835733,0.999055669801136,2,2,pre1,TOWR,4,RHODO
Coarse,5,0.9996290868853251,0.9999712487018972,0.998668466272076,2,2,pre1,TOWR,4,RHODO
Coarse,6,0.9994870722033816,0.9999534825337726,0.9982369792600895,2,2,pre1,TOWR,4,RHODO
Coarse,7,0.9993242194588217,0.9999302149317187,0.9977648596427215,2,2,pre1,TOWR,4,RHODO
Coarse,8,0.9991408477081127,0.9999008794518204,0.9972549675752828,2,2,pre1,TOWR,4,RHODO
Coarse,9,0.9989372069577042,0.9998649206616477,0.9967096280374541,2,2,pre1,TOWR,4,RHODO
Coarse,10,0.9987134985703592,0.9998216760401852,0.9961470077290512,2,2,pre1,TOWR,4,RHODO
Coarse,11,0.9984698882766867,0.9997706835867477,0.995558396275402,2,2,pre1,TOWR,4,RHODO
Coarse,12,0.9982065149132369,0.999711498925181,0.9949433869010419,2,2,pre1,TOWR,4,RHODO
Coarse,13,0.9979234965347683,0.9996436547579087,0.994303104233202,2,2,pre1,TOWR,4,RHODO
Coarse,14,0.9976209348328442,0.9995666980610273,0.9936384641153371,2,2,pre1,TOWR,4,RHODO
Coarse,15,0.9972989184180695,0.9994801838591548,0.9929504289904074,2,2,pre1,TOWR,4,RHODO
Coarse,16,0.9969575253145475,0.9993836596429854,0.9922398670656432,2,2,pre1,TOWR,4,RHODO
Coarse,17,0.9965968248929236,0.9992767274208376,0.9915075673385636,2,2,pre1,TOWR,4,RHODO
Coarse,18,0.9962168793937799,0.9991589784534871,0.9907542514660251,2,2,pre1,TOWR,4,RHODO
Coarse,19,0.9958177451459426,0.9990300131879538,0.9899805832810374,2,2,pre1,TOWR,4,RHODO
Coarse,20,0.9953994735534779,0.9988894406481668,0.9891871765247107,2,2,pre1,TOWR,4,RHODO
Coarse,21,0.9949621119045227,0.9987368434149324,0.9883746012018914,2,2,pre1,TOWR,4,RHODO
Coarse,22,0.9945057040409462,0.9985717943091816,0.9875433888602414,2,2,pre1,TOWR,4,RHODO
Coarse,23,0.9940302909179322,0.9983939878029278,0.9866940370163932,2,2,pre1,TOWR,4,RHODO
Coarse,24,0.9935359110754982,0.9982032241072922,0.9858270128985207,2,2,pre1,TOWR,4,RHODO
Coarse,25,0.9930226010388423,0.997999117467845,0.9849427566353142,2,2,pre1,TOWR,4,RHODO
Coarse,26,0.9924903956606267,0.9977812334156949,0.9840416839923485,2,2,pre1,TOWR,4,RHODO
Coarse,27,0.9919393284154909,0.9975491720130353,0.9831283509780114,2,2,pre1,TOWR,4,RHODO
Coarse,28,0.9913694316549506,0.9973025477030134,0.9821996319056038,2,2,pre1,TOWR,4,RHODO
Coarse,29,0.9907807368292105,0.9970411141808008,0.9812555376254333,2,2,pre1,TOWR,4,RHODO
Coarse,30,0.9901732746811572,0.9967645455325093,0.9802964042858512,2,2,pre1,TOWR,4,RHODO
Coarse,31,0.9895470754168146,0.9964725210654137,0.9793225528473596,2,2,pre1,TOWR,4,RHODO
Coarse,32,0.988902168855771,0.9961647251644329,0.9783342903147476,2,2,pre1,TOWR,4,RHODO
Coarse,33,0.9882385845644703,0.9958408471632028,0.9773319108327275,2,2,pre1,TOWR,4,RHODO
Coarse,34,0.9875563519747693,0.9955005812282218,0.9763156966638936,2,2,pre1,TOWR,4,RHODO
Coarse,35,0.9868555004897633,0.9951436262547579,0.9752859190647605,2,2,pre1,TOWR,4,RHODO
Coarse,36,0.986136059578566,0.9947696857733602,0.974242839073125,2,2,pre1,TOWR,4,RHODO
Coarse,37,0.9853980588614587,0.9943784678659714,0.973167164895854,2,2,pre1,TOWR,4,RHODO
Coarse,38,0.9846415281866162,0.9939696850907457,0.9720675559829055,2,2,pre1,TOWR,4,RHODO
Coarse,39,0.9838664976994312,0.9935430544147894,0.9709538541128218,2,2,pre1,TOWR,4,RHODO
Coarse,40,0.9830729979053158,0.9930982971541201,0.9698232802204545,2,2,pre1,TOWR,4,RHODO
