,sample.id,stream,block,species,mesh.type,year,date.deploy,date.collected,intitial.dry.mass.g,days.incubated,final.dry.mass.g,Tin.ID,tin.mass.g,tin.drymass.g,tin.ash.mass.g,month.collected,year.collected,leaf.dm.g,fung.biom.mg,fungal.biom.mg.g.afdm,init.dry_hl,init.afdm.g,tin.afdm.g,prop.afdm,final.drymass.gb,final.afdm.g,final.afdm.fbsub.g,final.afdm.gfb,mass.loss.g,pct.mass.remain,ln.pct.mass.remain,interval,mean.temp
131,W132,WS55,4,RHODO,Coarse,pre1,11/27/2017,5/8/2018,9.98,162,5.19,,3.632,8.7934,4.0854,5,2018,0.074,2.75,41.28,9.2025,8.691474127,4.708,0.912155617,5.19,4.734087651,0.067499516,4.801587166,3.889886961,54.4681786,3.997616652,NA,NA
132,W133,WS55,4,RHODO,Coarse,pre1,11/27/2017,3/12/2018,9.99,105,8.58,,3.653,9.5188,3.9835,3,2018,NA,NA,NA,9.2125,8.700918815,5.5353,0.943656449,8.58,8.096572335,NA,8.096572335,0.60434648,93.05422228,4.533182359,NA,NA
133,W134,WS55,4,RHODO,Coarse,pre1,11/27/2017,3/12/2018,10.02,105,8.51,,3.6664,9.1715,4.0265,3,2018,NA,NA,NA,9.2425,8.729252879,5.145,0.934587928,8.51,7.953343264,NA,7.953343264,0.775909615,91.11138575,4.512082777,NA,NA
134,W135,WS55,4,RHODO,Coarse,pre1,11/27/2017,3/12/2018,9.99,105,8.4,,3.6243,9.0869,3.9631,3,2018,NA,NA,NA,9.2125,8.700918815,5.1238,0.937978252,8.4,7.879017318,NA,7.879017318,0.821901497,90.55385397,4.505944745,NA,NA
135,W136,WS55,4,RHODO,Coarse,pre1,11/27/2017,12/11/2017,10.04,14,8.67,,3.6177,9.6092,3.8957,12,2017,0.169,1.48,9.73,9.2625,8.748142255,5.7135,0.953600935,8.67,8.267720103,0.161158558,8.428878661,0.319263593,94.50829516,4.54868761,NA,NA
136,W137,WS55,4,RHODO,Coarse,pre1,11/27/2017,12/11/2017,9.98,14,8.88,,3.6514,10.2075,3.9831,12,2017,0.1375,1.57,12.67,9.2025,8.691474127,6.2244,0.949405897,8.88,8.430724364,0.130543311,8.561267674,0.130206453,96.99993626,4.574710321,NA,NA
137,W138,WS55,4,RHODO,Coarse,pre1,11/27/2017,12/11/2017,10.07,14,8.81,,3.6334,8.8563,3.8982,12,2017,0.1619,1.8,12.38,9.2925,8.776476319,4.9581,0.949300197,8.81,8.363334737,0.153691702,8.517026439,0.25944988,95.2926258,4.556952429,NA,NA
138,W139,WS55,4,RHODO,Coarse,pre1,11/27/2017,12/18/2017,10.08,21,9.13,,3.6612,10.5632,4.0329,12,2017,NA,NA,NA,9.3025,8.785921007,6.5303,0.946146045,9.13,8.638313387,NA,8.638313387,0.147607619,98.3199528,4.588226985,NA,NA
139,W140,WS55,4,RHODO,Coarse,pre1,11/27/2017,12/18/2017,10.1,21,8.83,,3.6039,9.3737,3.9217,12,2017,NA,NA,NA,9.3225,8.804810383,5.452,0.944920101,8.83,8.343644494,NA,8.343644494,0.461165889,94.76234162,4.55137209,NA,NA
140,W141,WS55,4,RHODO,Coarse,pre1,11/27/2017,12/18/2017,10.03,21,8.85,,3.6108,9.6586,3.9594,12,2017,NA,NA,NA,9.2525,8.738697567,5.6992,0.942359205,8.85,8.339878964,NA,8.339878964,0.398818603,95.43617799,4.558457731,NA,NA
